Name of Operation,District,Area,Geographic Location,Licensed 2016,Opening Year,Hotel Rooms,Hotel Units,Total beds,Hotel Employment Males National,Hotel Employment Females National,Hotel Employment Males Foreign,Hotel Employment Females Foreign,Latitude,Longitude
Sarkiki Reef Resort,Stann Creek,Stann Creek,SouthEastern Coast ,Yes,2008,29,29,29,7,2,0,0,16.817806,-88.262709
Scotty's Bay Inn,Corozal,Corozal,Northern Belize,Yes,2015,8,7,9,0,1,1,0,18.393044,-88.382413
Sea Breeze Guest House,Belize,Belize City,Central Coast Belize,Yes,2009,9,9,12,1,1,0,0,17.29462,-88.11014
Sea Dreams Hotel ,Belize,Caye Caulker,Northern Islands ,Yes,2009,11,11,15,2,8,0,0,17.749323,-88.024812
Sea Glass Cottage,Toledo,Toledo,Southern Belize,Yes,2007,2,2,2,2,2,0,0,16.102317,-88.482874
Sea Glass Inn,Stann Creek,Placencia,SouthEastern Coast ,Yes,2012,6,6,11,0,1,0,0,16.512631,-88.366732
Sea Pearl Vacation Suites,Belize,San Pedro,Nothern Islands,Yes,2015,4,4,4,1,1,0,0,17.544366,-87.581656
Sea The View,Belize,San Pedro,Nothern Islands,Yes,2015,8,8,8,1,1,0,0,17.524585,-88.002026
Seabeezzz,Belize,Caye Caulker,Northern Islands ,Yes,1989,6,6,8,0,0,0,0,17.442255,-88.012932
Seabreeze Villa,Stann Creek,Placencia,SouthEastern Coast ,Yes,2013,3,3,4,1,1,0,0,16.519176,-88.367857
SEAcluded Sands,Belize,San Pedro,Nothern Islands,Yes,2006,2,2,2,3,0,0,0,17.937461,-87.961173
Seagrapes Cabana,Stann Creek,Hopkins,SouthEastern Coast ,Yes,2015,1,1,1,0,0,0,1,16.820627,-88.265089
Seagull's Nest Guest House,Stann Creek,Hopkins,SouthEastern Coast ,Yes,1998,6,6,6,1,1,0,0,16.855976,-88.280804
Seascape Vacation Rentals,Stann Creek,Hopkins,SouthEastern Coast ,Yes,2016,2,2,3,1,1,0,0,16.51557,-88.171544
Seascape Villas,Belize,San Pedro,Nothern Islands,Yes,2006,4,4,18,5,4,0,0,17.574955,-87.555698
Seaside Cabanas,Belize,Caye Caulker,Northern Islands ,Yes,2003,17,17,24,4,8,0,0,17.742572,-88.023746
Seaside Casa,Belize,San Pedro,Nothern Islands,Yes,2012,1,1,3,1,0,0,0,17.52325,-88.01079
Seaside Villas,Belize,Caye Caulker,Northern Islands ,Yes,2007,5,5,12,1,1,0,0,17.4485,-88.0143
Seaspray Hotel,Stann Creek,Placencia,SouthEastern Coast ,Yes,1998,21,21,35,1,9,0,0,16.519226,-88.367629
Seaview Suites,Stann Creek,Placencia,SouthEastern Coast ,Yes,2011,9,9,14,2,1,0,0,16.514956,-88.36572
Seiri Del Mar ,Stann Creek,Hopkins,SouthEastern Coast ,Yes,2014,19,9,19,8,3,0,0,16.877562,-88.287973
Serenade Hotel,Stann Creek,Placencia,SouthEastern Coast ,Yes,2014,18,18,18,1,1,0,0,16.517243,-88.367444
Serenity Sands Bed & Breakfast,Corozal,Corozal,Northern Belize,Yes,2008,5,5,8,3,1,0,0,18.413797,-88.343167
Seven Seas Resort,Belize,San Pedro,Nothern Islands,Yes,1988,12,9,18,2,2,0,0,17.55532,-87.57532
Shebeen ,Stann Creek,Placencia,SouthEastern Coast ,Yes,2014,3,3,2,1,1,0,0,,
Shell-Ease by the Sea ,Belize,San Pedro,Nothern Islands,Yes,2014,2,2,2,1,0,0,0,,
Shirley's Guest House,Belize,Caye Caulker,Northern Islands ,Yes,1979,1,1,1,0,0,0,0,17.762485,-88.004603
Siesta Inn,Belize,Belize City,Central Coast Belize,No,2007,17,17,17,1,1,0,0,17.513726,-88.22236
Silver Leaf Villa & Cabana,Stann Creek,Placencia,SouthEastern Coast ,Yes,2008,2,2,7,0,0,0,0,,
Simbert Apartments,Stann Creek,Placencia,SouthEastern Coast ,No,2014,2,2,2,0,0,1,1,16.36383,-88.21186
Singing Sands Inn,Stann Creek,Placencia,SouthEastern Coast ,Yes,2009,11,10,16,14,2,0,0,16.607827,-88.353319
Sirmoor Hill Farm Bed and Breakfast,Toledo,Toledo,Southern Belize,Yes,2009,3,2,2,2,0,0,0,,
Sittee River Lodge,Stann Creek,Stann Creek,SouthEastern Coast ,Yes,2005,2,2,2,0,0,0,0,,
Sleeping Giant Rainforest Lodge,Cayo,Cayo,Western Belize ,Yes,2011,25,24,25,19,18,0,0,17.107959,-88.665516
Sol Spot Unit H-5 @ Casa Del Sol,Belize,San Pedro,Nothern Islands,Yes,2015,2,2,3,0,0,0,0,17.554255,-87.574
Solaria Villas,Belize,San Pedro,Nothern Islands,Yes,2009,13,13,15,1,0,0,0,17.57575,-87.55493
Solutions Guest House ,Stann Creek,Hopkins,SouthEastern Coast ,Yes,2013,6,5,5,1,0,0,0,,
Sophie's Guest Rooms,Belize,Caye Caulker,Northern Islands ,Yes,2008,5,5,10,0,2,0,0,17.44572,-88.01292
Sopilar Campground,Cayo,Cayo,Western Belize ,Yes,2011,2,2,5,1,1,0,0,17.142384,-89.08388
South Waters Resort,Stann Creek,Placencia,SouthEastern Coast ,Yes,1999,7,7,9,3,3,0,0,16.512305,-88.366933
Southern Shores Resort,Stann Creek,Placencia,SouthEastern Coast ,Yes,2016,7,7,7,2,2,0,0,16.512457,-88.36662
Sozo House,Stann Creek,Hopkins,SouthEastern Coast ,Yes,2014,2,2,8,0,0,0,0,16.50179,-88.16053
Spanish Creek Rainforest Reserve,Belize,Belize Rural,Central Coast Belize,Yes,2007,5,4,14,4,1,0,1,17.537905,-88.627138
Spindrift Hotel,Belize,San Pedro,Nothern Islands,Yes,1982,26,24,42,2,4,0,0,17.919029,-87.962246
St. Charles Inn,Toledo,Toledo,Southern Belize,Yes,1984,12,12,20,2,3,0,0,16.208768,-88.802827
St. Christopher’s Hotel,Orange Walk,Orange Walk,Northern Belize,No,1997,21,21,41,2,4,0,0,18.082526,-88.559299
St. George's Caye Resort ,Belize,Offshore North,Northern Islands ,Yes,2008,19,12,12,18,4,1,0,17.553838,-88.072929
Stella De Mare ,Belize,San Pedro,Nothern Islands,Yes,2010,4,4,4,1,1,0,0,,
Sueno del Mar,Belize,San Pedro,Nothern Islands,Yes,2006,62,31,94,13,5,3,0,18.088437,-87.875517
Sugar Patch Inn ,Stann Creek,Hopkins,SouthEastern Coast ,Yes,2015,4,4,3,1,2,0,0,16.51046,-88.16457
Sun Breeze Hotel,Belize,San Pedro,Nothern Islands,Yes,1977,43,43,74,12,16,0,0,17.91714,-87.963302
Sun Creek  Lodge,Toledo,Toledo,Southern Belize,Yes,2004,6,6,12,0,1,0,0,16.105697,-88.918786
Sun Moon Star Motel,Cayo,Belmopan,Western Belize ,Yes,2013,4,4,4,1,0,0,0,17.142044,-88.454018
Sunbreeze Suites,Belize,San Pedro,Nothern Islands,Yes,2008,20,19,20,4,6,0,0,17.921289,-87.960575
Sundiver Beach Resort,Belize,San Pedro,Nothern Islands,Yes,2009,12,12,20,3,6,0,0,17.977999,-87.924311
Sundowner Lodge,Stann Creek,Placencia,SouthEastern Coast ,Yes,2014,4,4,5,0,2,0,0,16.305657,-88.220412
Sunrise Cabana,Stann Creek,Hopkins,SouthEastern Coast ,Yes,2013,4,2,2,0,0,1,0,16.49417,-88.15968
Sunset Lagoon Cabanas,Stann Creek,Placencia,SouthEastern Coast ,Yes,2015,1,1,1,1,1,0,0,,
Sunset Pointe Condominiums,Stann Creek,Placencia,SouthEastern Coast ,Yes,2006,14,14,49,1,0,0,0,16.30333,-88.22235
Sweet Dreams Garden,Cayo,Belmopan,Western Belize ,Yes,2012,6,6,5,0,1,1,0,17.14262,-88.464678
T.R.E.E.S Hosting Center ,Stann Creek,Stann Creek,SouthEastern Coast ,Yes,2013,14,7,33,2,3,1,1,16.320707,-88.3356
Table Rock Jungle Lodge,Cayo,Cayo,Western Belize ,Yes,2007,9,9,18,12,9,3,1,17.06539,-89.034468
Tania's Guest House,Stann Creek,Hopkins,SouthEastern Coast ,Yes,1998,7,7,13,1,1,0,0,16.85648,-88.281974
Tara Del Sol,Belize,San Pedro,Nothern Islands,Yes,2005,10,8,24,1,1,0,0,17.892478,-87.979311
Tarpon Caye Lodge,Stann Creek,Offshore South,SouthEastern Coast ,Yes,2000,3,3,3,0,0,0,0,16.585758,-88.145472
Tates Guest House,Toledo,Toledo,Southern Belize,Yes,1991,5,4,5,0,0,0,0,16.096355,-88.805949
Thatch Caye Resort ,Stann Creek,Offshore South,SouthEastern Coast ,Yes,2008,14,14,42,20,8,0,0,16.885341,-88.119113
The Arches,Stann Creek,Placencia,SouthEastern Coast ,Yes,2008,2,1,2,0,0,0,0,16.311984,-88.221484
The Bakadeer Inn,Belize,Belize City,Central Coast Belize,Yes,1999,12,12,23,1,1,0,0,17.501027,-88.19172
The Bunk House,Toledo,Toledo,Southern Belize,Yes,2016,2,2,16,1,1,0,0,,
The Caribbean Palms Inn,Belize,Belize City,Central Coast Belize,Yes,2004,13,10,24,0,2,0,0,17.492633,-88.186764
The Crimison Orchid Inn,Corozal,Corozal,Northern Belize,Yes,2011,11,9,11,0,1,0,0,18.326429,-88.328957
The Farm Inn,Toledo,Toledo,Southern Belize,Yes,2011,7,7,11,3,1,0,0,16.236679,-89.042044
The Flamboyant Tree,Stann Creek,Placencia,SouthEastern Coast ,Yes,2009,4,3,4,0,0,0,0,16.514446,-88.365396
The French Lady Guest House,Belize,Caye Caulker,Northern Islands ,Yes,2015,6,3,3,0,1,1,1,,
The Funky Do Do Backpackers,Stann Creek,Hopkins,SouthEastern Coast ,Yes,2011,9,9,30,2,2,0,0,16.86268,-88.284236
The Glass House,Belize,Caye Caulker,Northern Islands ,Yes,2014,4,4,5,2,3,0,0,,
The Great House Inn,Belize,Belize City,Central Coast Belize,Yes,1999,16,16,23,3,8,0,0,17.293516,-88.105382
The Green Guest House,Orange Walk,Orange Walk,Northern Belize,Yes,2013,4,4,8,1,0,1,0,17.45244,-88.39543
The Green Salamander,Stann Creek,Placencia,SouthEastern Coast ,Yes,2015,2,1,3,1,1,0,0,,
The Lodge at Big Falls,Toledo,Toledo,Southern Belize,Yes,2003,8,8,18,3,12,0,0,16.26048,-88.89054
The Lodge at Chaa Creek ,Cayo,Cayo,Western Belize ,Yes,1980,24,24,42,118,46,0,0,17.107521,-89.073926
The Log Cab-Inn,Cayo,Cayo,Western Belize ,Yes,1996,20,20,52,8,6,0,0,17.158109,-89.069671
The Macal River Camp,Cayo,Cayo,Western Belize ,Yes,2005,10,10,36,3,1,0,0,17.112501,-89.074478
The Maine Stay,Stann Creek,Placencia,SouthEastern Coast ,Yes,2005,5,5,10,5,1,0,0,16.579017,-88.365069
The Mellow House ,Stann Creek,Placencia,SouthEastern Coast ,Yes,2014,6,3,3,0,1,0,1,16.862172,-88.283575
The Nautical Inn,Stann Creek,Placencia,SouthEastern Coast ,Yes,2010,15,15,23,1,1,0,0,16.570487,-88.365447
The New Belmoral Hotel,Cayo,Cayo,Western Belize ,No,1996,11,10,14,1,2,0,0,17.069671,-89.158109
The Old House Hostel ,Cayo,Cayo,Western Belize ,Yes,2014,5,4,21,1,1,0,0,17.155978,-89.069757
The Orange Gallery,Cayo,Cayo,Western Belize ,No,1997,4,4,8,0,6,0,0,17.203446,-88.952128
The Palms Condominium ,Belize,San Pedro,Nothern Islands,Yes,1995,13,13,30,4,8,0,0,17.90293,-87.975817
The Phoenix Resort,Belize,San Pedro,Nothern Islands,Yes,2008,30,27,54,12,17,3,4,17.921735,-87.960245
The Placencia Hotel & Residencies,Stann Creek,Placencia,SouthEastern Coast ,Yes,2003,90,86,93,70,20,2,1,16.638925,-88.331283
The Red Hut Inn,Belize,Belize City,Central Coast Belize,Yes,2006,7,7,8,1,1,0,0,17.49753,-88.188547
The Sail House,Belize,Caye Caulker,Northern Islands ,Yes,2009,2,1,3,1,1,0,0,,
The Sands Inn,Belize,Caye Caulker,Northern Islands ,Yes,2016,2,2,2,0,0,0,0,17.44214,-88.015234
The Savannah Guest House ,Belize,Belize Rural,Central Coast Belize,Yes,2012,3,3,6,1,1,0,0,17.363038,-88.654584
The Sea Front Inn,Toledo,Toledo,Southern Belize,Yes,1998,19,19,37,3,6,0,0,16.060029,-88.800417
The Smuggler's Den,Corozal,Corozal,Northern Belize,Yes,1994,5,5,5,3,2,0,0,18.465377,-88.301928
The Stand Center,Cayo,Cayo,Western Belize ,Yes,2012,1,1,5,0,0,1,1,17.14913,-88.836528
The Tranquila Caye,Belize,Caye Caulker,Northern Islands ,Yes,2014,2,2,2,0,0,0,1,17.761161,-88.027839
The Tree House,Belize,San Pedro,Nothern Islands,Yes,2010,2,2,2,1,0,0,0,17.972897,-87.927254
The Trek Stop,Cayo,Cayo,Western Belize ,Yes,2010,17,14,28,2,2,0,0,17.052424,-89.072414
The Village Inn,Stann Creek,Placencia,SouthEastern Coast ,Yes,2005,4,4,8,0,0,0,0,16.312737,-88.220712
The Villas at Cocoplum,Stann Creek,Placencia,SouthEastern Coast ,Yes,2009,40,13,17,2,0,0,0,16.588525,-88.359546
The White House in Placencia,Stann Creek,Placencia,SouthEastern Coast ,Yes,2015,1,1,3,1,1,0,0,16.523146,-88.368687
The WindFlower,Stann Creek,Placencia,SouthEastern Coast ,Yes,2011,2,2,2,0,0,0,0,16.520207,-88.372933
Three Iguanas Villas,Stann Creek,Placencia,SouthEastern Coast ,Yes,2008,4,3,6,0,0,0,0,,
Three Star Guest House,Belize,Belize City,Central Coast Belize,No,1997,18,10,11,0,0,0,0,17.509464,-88.194695
Tiki Maya House,Belize,San Pedro,Nothern Islands,Yes,2015,3,3,3,0,1,0,0,17.56275,-87.56521
Tillett's Village Lodge,Belize,Belize Rural,Central Coast Belize,Yes,2010,7,7,13,1,1,0,0,,
Tipple Tree Beya,Stann Creek,Stann Creek,SouthEastern Coast ,Yes,1998,4,4,5,0,1,0,0,16.839957,-88.273463
Tobacco Caye Lodge,Stann Creek,Offshore South,SouthEastern Coast ,Yes,1999,13,9,36,3,5,0,0,16.898322,-88.061673
Tobacco Caye Paradise Cabins,Stann Creek,Offshore South,SouthEastern Coast ,Yes,1999,7,7,12,2,4,0,0,16.898174,-88.061814
Toledo Ecotourism Association (2007) G/H,Toledo,Toledo,Southern Belize,Yes,2007,5,5,45,30,25,0,0,,
Tomas Hotel,Belize,San Pedro,Nothern Islands,Yes,1980,12,6,12,0,1,0,0,17.920693,-87.961092
Tony's Inn and Beach Resort,Corozal,Corozal,Northern Belize,Yes,1971,24,24,44,5,15,0,0,18.380869,-88.397228
Toucan Lulu,Stann Creek,Placencia,SouthEastern Coast ,Yes,1999,1,1,7,0,0,0,1,16.522128,-88.36887
Touch of Class Comfort Inn,Cayo,Cayo,Western Belize ,Yes,2001,12,10,12,1,1,0,0,17.165157,-89.058651
Tradewinds Hotel,Stann Creek,Placencia,SouthEastern Coast ,Yes,1988,11,11,20,3,2,0,0,16.3051,-88.21522
Tradewinds Paradise Villas,Belize,San Pedro,Nothern Islands,Yes,1996,8,8,10,1,3,0,0,17.919411,-87.955767
"Tranguility Beach Club #5, 8 , & 9",Belize,San Pedro,Nothern Islands,Yes,2010,8,8,8,1,1,0,0,17.891677,-87.979251
Tranquility Bay Resort,Belize,San Pedro,Nothern Islands,Yes,2006,22,11,20,10,9,0,0,18.09263,-87.869527
Tranquility Lodge,Toledo,Toledo,Southern Belize,No,2001,14,7,16,2,1,0,0,16.155772,-88.890072
Travellers Tree House Bed & Breakfast,Belize,San Pedro,Nothern Islands,Yes,2015,2,1,3,1,0,0,1,17.543867,-87.582714
Tree Tops Guest House,Belize,Caye Caulker,Northern Islands ,Yes,1995,12,6,8,0,2,0,0,17.739156,-88.025634
Trellis House ,Belize,Caye Caulker,Northern Islands ,Yes,2016,3,3,3,0,0,0,0,17.44201,-88.01548
Tres Banderas Vacation Home,Belize,San Pedro,Nothern Islands,Yes,2013,2,2,2,0,1,0,1,,
Triple B-Becks' Bed & Breakfast,Belize,Belize Rural,Central Coast Belize,No,2013,4,3,5,0,1,0,0,17.444492,-88.191008
Tri-Tan Beach Cabanas,Stann Creek,Placencia,SouthEastern Coast ,Yes,2000,2,2,1,0,0,0,0,16.521223,-88.368512
Tropical Dream Vacation Rentals ,Belize,Caye Caulker,Northern Islands ,Yes,2014,4,4,7,0,1,0,0,,
Tropical Education Centre,Belize,Belize Rural,Central Coast Belize,Yes,1996,22,22,40,5,7,0,0,17.357758,-88.54233
Tropical Escape,Belize,San Pedro,Nothern Islands,Yes,2011,3,3,6,0,1,0,1,17.992188,-87.918055
Tropical Oasis,Belize,Caye Caulker,Northern Islands ,Yes,2010,7,7,18,0,0,0,0,17.747387,-88.02411
Tropical Paradise Resort,Belize,Caye Caulker,Northern Islands ,Yes,1978,28,28,54,4,4,0,0,17.740432,-88.024809
Tropicana Hotel & Condominium,Belize,San Pedro,Nothern Islands,Yes,2016,6,4,8,2,1,2,0,17.5439,-87.56146
Tropicool Hotel,Cayo,Cayo,Western Belize ,Yes,1995,11,11,18,0,1,0,0,17.158801,-88.070179
Turneffe Flats Resort,Belize,Offshore North,Northern Islands ,Yes,1985,14,14,27,23,8,0,0,17.205058,-87.593855
Turneffe Island Resort,Belize,Offshore North,Northern Islands ,Yes,2001,22,22,30,34,15,1,2,17.203593,-87.867951
Turquesa Vacation Home ,Belize,San Pedro,Nothern Islands,Yes,2003,2,2,2,1,0,0,0,,
Turtle Beach Cabanas,Belize,San Pedro,Nothern Islands,Yes,2013,2,2,2,1,1,0,0,,
Turtle Cove,Belize,San Pedro,Nothern Islands,Yes,2014,8,4,5,1,1,0,0,17.59648,-87.54926
Turtle Inn,Stann Creek,Placencia,SouthEastern Coast ,Yes,2000,28,28,38,101,23,1,2,16.531233,-88.361542
Tutzil Nah Cottages,Stann Creek,Hopkins,SouthEastern Coast ,Yes,2000,6,6,8,3,1,0,0,16.47564,-88.22497
Twisted Palm Villa,Belize,San Pedro,Nothern Islands,Yes,2016,7,6,6,0,1,0,0,17.5607,-87.57094
Upstairs Lounge Inn,Toledo,Toledo,Southern Belize,Yes,2004,6,6,8,0,0,0,0,16.060087,-88.481496
Ursella's Guest House,Stann Creek,Stann Creek,SouthEastern Coast ,Yes,1989,7,7,9,0,1,0,0,16.58139,-88.250134
Valarosa,Belize,Caye Caulker,Northern Islands ,Yes,2011,1,1,1,0,1,0,0,17.761148,-88.027754
Vandely's Guest House,Stann Creek,Placencia,SouthEastern Coast ,Yes,1999,3,3,4,2,2,0,0,16.3118,-88.2208
Vanilla Hills,Cayo,Cayo,Western Belize ,Yes,2013,4,4,7,3,2,0,0,17.095765,-89.062095
Vega Inn and Gardens,Belize,Caye Caulker,Northern Islands ,Yes,1965,7,7,21,0,1,0,0,17.74372,-88.023506
Venus Hotel,Cayo,Cayo,Western Belize ,Yes,1990,29,22,46,2,3,0,0,17.159031,-89.070281
Victoria House,Belize,San Pedro,Nothern Islands,Yes,1978,42,42,49,57,32,1,0,17.540028,-87.583644
Victor's Inn,Orange Walk,Orange Walk,Northern Belize,No,2001,24,12,15,1,2,0,0,18.5007,-88.32452
View The Blue,Belize,San Pedro,Nothern Islands,Yes,2005,5,5,7,1,1,0,0,17.88106,-87.991537
Villa Almendra,Belize,Caye Caulker,Northern Islands ,Yes,2008,3,3,4,0,1,0,0,,
Villa Aurora ,Belize,San Pedro,Nothern Islands,No,2008,8,4,5,0,1,0,0,17.59186,-87.55115
Villa Boscardi,Belize,Belize City,Central Coast Belize,Yes,1999,8,8,10,0,3,0,0,17.513807,-88.215572
Villa Cayo,Cayo,Cayo,Western Belize ,Yes,2015,2,2,2,2,2,0,0,17.084342,-89.025874
Villa De Plata,Belize,San Pedro,Nothern Islands,Yes,2008,3,3,3,1,0,0,0,,
Villa Gemma,Belize,Caye Caulker,Northern Islands ,Yes,2010,1,1,1,3,3,0,0,17.726334,-88.028523
Villa Groovy Gecko,Stann Creek,Placencia,SouthEastern Coast ,Yes,2014,5,5,6,0,0,0,0,16.37483,-88.20408
Villa Hermosa,Belize,Caye Caulker,Northern Islands ,Yes,2006,2,1,3,0,1,0,0,17.737723,-88.02727
Villa Incomunicada ,Belize,San Pedro,Nothern Islands,Yes,2008,6,6,8,2,1,0,0,17.524786,-87.593938
Villa Incomunicada 2,Belize,San Pedro,Nothern Islands,Yes,2014,6,6,8,2,1,0,0,17.879458,-87.994141
Villa Jammin Gecko,Stann Creek,Placencia,SouthEastern Coast ,Yes,2015,6,5,5,0,0,0,0,16.629932,-88.343983
Villa Lazy Gecko,Stann Creek,Placencia,SouthEastern Coast ,,2012,8,4,10,1,1,0,0,,
Villa Ragazza,Belize,San Pedro,Nothern Islands,Yes,2014,3,3,3,1,1,0,0,17.525704,-87.592584
Villa Ranguana,Stann Creek,Placencia,SouthEastern Coast ,Yes,2009,1,1,8,2,1,0,0,16.544074,-88.356594
Villa San Juan,Cayo,Belmopan,Western Belize ,Yes,2011,8,8,8,1,1,0,0,17.526425,-88.778185
Villa Tipsy Gecko ,Stann Creek,Placencia,SouthEastern Coast ,Yes,2010,4,4,4,1,1,0,0,16.37479,-88.20415
Villa Twin Dolphins,Belize,San Pedro,Nothern Islands,Yes,2010,1,1,6,1,0,0,0,17.882463,-87.990129
Villa Verano,Stann Creek,Hopkins,SouthEastern Coast ,Yes,2011,10,10,18,4,7,0,1,16.838962,-88.270236
Village View Rental,Stann Creek,Placencia,SouthEastern Coast ,Yes,2013,5,5,5,0,1,0,0,16.514309,-88.366722
Vista Del Mar Guesthouse ,Belize,Caye Caulker,Northern Islands ,Yes,1975,10,10,15,1,3,0,0,17.744918,-88.02367
Warrie Head Lodge,Cayo,Belmopan,Western Belize ,No,1988,10,10,17,1,2,0,0,17.133483,-88.52367
Waruguma Inn,Toledo,Toledo,Southern Belize,Yes,2013,4,4,6,0,0,0,0,16.060087,-88.483692
Wataview,Belize,San Pedro,Nothern Islands,Yes,2012,5,5,6,1,2,0,1,17.888117,-87.982349
Watercolor,Belize,San Pedro,Nothern Islands,No,2015,3,3,2,1,1,0,0,17.5876,-87.55243
Water's Edge- A Mata Grande Villa,Belize,San Pedro,Nothern Islands,Yes,2012,5,5,8,1,0,0,0,,
Watson's Rentals,Cayo,Belmopan,Western Belize ,Yes,2016,4,1,1,0,0,0,0,17.140589,-88.454026
Weezie's Cabins ,Belize,Caye Caulker,Northern Islands ,Yes,2011,3,3,7,3,2,1,2,17.735714,-88.026972
West Lake Park Motel,Belize,Belize Rural,Central Coast Belize,Yes,2009,8,8,8,0,2,0,0,,
Weyohan Hotel,Stann Creek,Stann Creek,SouthEastern Coast ,Yes,1996,17,17,25,1,1,0,0,16.9512,-88.1322
Whipray Caye Lodge,Stann Creek,Offshore South,SouthEastern Coast ,Yes,1997,8,8,8,1,1,0,0,16.32234,-88.13053
Whistling Seas Vacation Inn,Stann Creek,Hopkins,SouthEastern Coast ,Yes,2002,10,5,11,1,2,0,0,16.855361,-88.281056
White Sand Villa,Stann Creek,Placencia,SouthEastern Coast ,Yes,2005,2,2,3,1,1,0,0,16.30575,-88.22004
White Sands Cove,Belize,San Pedro,Nothern Islands,Yes,2010,18,18,23,4,9,1,1,17.57061,-87.56301
Wild Orchid Villa,Stann Creek,Placencia,SouthEastern Coast ,Yes,2009,8,8,10,7,4,0,0,16.32457,-88.21353
Windschief,Stann Creek,Hopkins,SouthEastern Coast ,Yes,2005,3,2,3,0,1,1,0,16.51321,-88.16556
Windy Hill Resort  ,Cayo,Cayo,Western Belize ,Yes,1989,22,22,48,17,3,0,0,17.141853,-89.087296
Wolf's Place,Cayo,Cayo,Western Belize ,Yes,2016,5,3,3,0,2,1,0,17.224314,-88.913697
Wrecked Beach,Stann Creek,Placencia,SouthEastern Coast ,Yes,2014,4,2,2,1,1,0,0,16.62039,-88.352717
X Tan Ha Resort,Belize,San Pedro,Nothern Islands,Yes,2012,51,39,81,14,6,0,0,18.011055,-87.910024
Xanadu Island Resort,Belize,San Pedro,Nothern Islands,Yes,1999,33,20,33,10,10,0,1,17.90806,-87.973119
Yam Wits Lodge,Cayo,Cayo,Western Belize ,Yes,2004,6,6,11,1,2,0,0,17.05554,-88.39418
Yaxche Jungle Camp,Cayo,Cayo,Western Belize ,Yes,2013,4,3,10,2,2,0,0,17.085458,-88.401738
Yellow Bell Guest House ,Belize,Belize Rural,Central Coast Belize,Yes,2013,3,3,3,1,1,0,0,17.103366,-88.195198
Yellow Bella,Stann Creek,Placencia,SouthEastern Coast ,Yes,2008,3,3,7,0,0,0,0,16.525749,-88.369668
Yim Saan Hotel,Cayo,Belmopan,Western Belize ,Yes,2002,25,22,40,1,4,0,0,17.251223,-88.785523
Yok Ha Resort ,Stann Creek,Offshore South,SouthEastern Coast ,Yes,2012,10,5,7,4,6,0,0,16.590202,-88.055094
Yugadah Inn,Stann Creek,Hopkins,SouthEastern Coast ,No,1998,4,4,6,0,1,0,0,16.51275,-88.16842
Yuma's House Belize,Belize,Caye Caulker,Northern Islands ,Yes,2010,13,11,25,2,3,0,0,17.44503,-88.01469
YWAM - Destination Paradise Caribbean,Belize,San Pedro,Nothern Islands,Yes,2013,30,30,20,1,0,0,0,17.58008,-87.55483
Zeke's Casa Roja ,Belize,Caye Caulker,Northern Islands ,Yes,2007,2,1,3,0,1,0,1,17.736628,-88.028619
Zen Arcade,Belize,San Pedro,Nothern Islands,,2014,6,3,3,0,0,0,0,,
